Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
530565, 1.87, --, --, --, 0.16, archana-software-ltd
531489, 21.91, 0.01, 15.67, 11.50, 3.18, cg-vak-software--exports-ltd
506879, 96.54, --, 111.26, -584.96, 4.33, gujarat-themis-biosyn-ltd
531161, 277.33, --, 30.75, 20.26, 26.50, abm-knowledgeware-ltd
532543, 284.75, 0.09, 10.26, 3.96, 2.84, gp-petroleums-limited
506685, 290.79, --, 28.15, 18.83, 10.08, ultramarine--pigments-ltd
534312, 576.21, 0.04, 33.12, 22.13, 11.20, mt-educare-ltd
500227, 2067.91, 0.33, 13.77, 10.51, 67.22, jindal-poly-films-ltd
506943, 2553.08, 0.10, 14.78, 11.17, 22.75, jbchemicals--pharmaceuticals-ltd
500163, 4413.76, 0.16, 19.37, 14.16, 69.24, godfrey-phillips-india-ltd
