Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
526073, 1.20, 0.77, 20.53, 16.67, 21.54, galaxy-bearings-ltd
530291, 1.80, --, --, --, -1.67, raj-agro-mills-ltd
590091, 2.49, 0.84, 31.30, 35.94, 2.64, trinethra-infra-ventures-ltd
506874, 2.52, --, --, --, 0.01, shreejal-info-hubs-ltd
530173, 2.91, --, 8.98, 5.19, 1.51, oscar-global-ltd
531448, 6.16, --, 0.10, 0.07, -0.53, safal-securities-ltd
517238, 6.22, --, --, --, -1.35, dynavision-ltd
531250, 6.38, --, --, --, -5.03, rnb-industries-ltd
538963, 6.70, 1.36, 8.43, 1.28, 3.25, pact-industries-ltd
539300, 8.31, 1.39, 7.29, 1.17, 7.77, ak-spintex-ltd
531254, 8.57, --, -1.19, -20.42, 0.02, transpek-finance-ltd
505807, 8.60, 0.01, 5.79, 3.69, 19.36, rolcon-engineering-coltd
513703, 9.66, --, -9.63, -11.64, 0.22, kumar-wire-cloth-manufacturing-company-ltd
519279, 10.25, 0.07, 0.43, 0.17, 0.30, madhur-industries-ltd
532730, 12.24, --, 15.25, 28.60, 0.02, stl-global-ltd
513397, 12.38, 1.19, 5.09, 5.36, 10.92, vallabh-steels-ltd
532788, 12.73, --, -0.56, 3.13, -0.64, xl-energy-ltd
537068, 13.96, --, --, --, -0.01, satya-miners--transporters-ltd
514474, 15.23, 2.35, 13.99, 13.06, 16.80, fair-deal-filaments-ltd
523620, 16.90, --, 2.03, 1.06, 1.40, phaarmasia-ltd
531489, 21.51, 0.01, 15.67, 11.50, 3.18, cg-vak-software--exports-ltd
513713, 23.13, --, --, --, -0.32, white-diamond-industries-ltd
505302, 24.11, 4.75, 21.85, 144.28, -2.71, lakshmi-automatic-loom-works-ltd
538837, 24.35, 1.79, 13.62, 9.71, 1.75, jeevan-scientific-technology-ltd
539287, 32.12, 0.88, 12.03, 4.00, 3.83, ortin-laboratories-ltd
526161, 34.09, 0.17, 11.51, 6.62, 15.15, spenta-international-ltd
534623, 36.87, 0.02, 1.62, 1.17, 0.04, jupiter-infomedia-ltd
532016, 38.95, --, --, --, -0.11, wellesley-corporation-ltd
532376, 50.82, 0.84, -16.90, -42.04, -4.06, mro-tek-ltd
517522, 53.22, 0.74, 13.05, 7.79, 47.54, rajratan-global-wire-ltd
