Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
531658, 0.83, --, --, --, 0.02, trijal-industries-ltd
507609, 6.11, 0.30, 73.50, 41.41, 70.42, olympic-oil-industries-ltd
538794, 14.33, 0.18, 13.85, 9.60, 7.33, jet-infraventure-ltd
530459, 31.29, 0.29, 13.39, 9.02, 6.79, valson-industries-ltd
530521, 43.33, 0.05, 22.37, 15.67, 7.35, virat-industries-ltd
513709, 53.10, 0.29, 14.44, 10.15, 22.22, shilp-gravures-ltd
538713, 53.59, 0.06, 22.56, 16.73, 5.36, atishay-infotech-ltd
538964, 61.10, 0.32, 23.81, 18.26, 48.17, mercury-laboratories-ltd
531726, 61.19, 0.34, 13.87, 10.26, 9.57, panchsheel-organics-ltd
524828, 62.27, 0.39, 13.56, 11.34, 6.61, bdh-industries-ltd
524654, 91.72, 0.12, 15.41, 12.05, 21.59, natural-capsules-ltd
531744, 117.78, 0.27, 12.19, 8.57, 4.23, gini-silk-mills-ltd
530589, 117.98, 0.08, 11.74, 8.11, 3.95, prima-plastics-ltd
522257, 135.79, 0.12, 20.82, 15.42, 1.82, rajoo-engineers-ltd
500343, 167.28, 0.41, 12.85, 11.17, 6.87, pudumjee-pulp--paper-mills-ltd
524774, 172.86, 0.34, 27.73, 25.38, 23.73, ngl-fine-chem-ltd
532737, 202.10, 0.19, 17.78, -14.95, 9.41, emkay-global-financial-services-ltd
539301, 233.45, 0.22, 15.31, 8.69, 2.35, arvind-infrastructure-ltd
506194, 263.42, 0.50, 16.66, 13.13, 3.14, arihant-superstructures-limited
524280, 292.65, 0.21, 13.47, 9.50, 7.69, kopran-ltd
531633, 323.12, 0.43, 16.00, 13.26, 14.17, lincoln-pharmaceuticals-ltd
506685, 343.03, --, 28.15, 18.83, 10.08, ultramarine--pigments-ltd
526397, 376.40, 0.01, 25.68, 24.22, 34.50, alphageo-(india)-ltd
500166, 406.08, 0.04, 14.57, 10.43, 16.30, goodricke-group-ltd
517344, 415.89, --, 10.66, 6.89, 7.44, mindteck-(india)-ltd
532790, 416.57, --, --, --, 1.09, tanla-solutions-ltd
504879, 439.08, 0.16, 10.99, 7.92, 2.47, orient-abrasives-ltd
517080, 923.50, 0.01, 23.87, 15.41, 16.27, high-ground-enterprise-ltd
533121, 999.67, 0.09, 32.19, 21.78, 31.47, sqs-india-bfsi-limited
532539, 1463.58, 0.29, 16.50, 14.38, 71.49, minda-industries-ltd
532890, 2490.84, --, --, --, 0.11, take-solutions-ltd
504067, 4824.32, --, 32.98, 23.76, 60.14, zensar-technologies-ltd
500163, 7447.09, 0.16, 19.37, 14.16, 69.24, godfrey-phillips-india-ltd
524816, 9423.70, 0.30, 17.45, 17.39, 68.77, natco-pharma-ltd
