Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
500271, 00, --, 13.58, 11.31, 17.66, max-india-ltd
526494, 2.34, --, 9.93, -72.24, 0.88, promact-plastics-ltd
532041, 2.85, 0.14, -17.99, -21.06, -1.20, hindustan-bio-sciences-ltd
530429, 3.23, 0.38, 5.95, 2.52, 1.47, ashish-polyplast-ltd
531553, 5.30, --, --, --, 0.25, arihant-avenues--credit-ltd
524624, 5.54, 0.55, 8.19, 11.12, 0.19, gagan-gases-ltd
531644, 6.83, 0.82, 7.01, 4.70, 2.21, tokyo-finance-ltd
519604, 8.08, --, --, --, -0.19, suryo-foods--industries-ltd
526594, 8.69, 2.86, 11.17, 6.04, 14.61, bnanji-enterprises-ltd
526628, 9.20, 2.26, -5.11, -17.89, 0.48, ajwa-fun-world--resort-ltd
526799, 9.36, --, -7.61, 28.95, -1.78, union-quality-plastics-ltd
539291, 11.99, 0.43, 4.81, 2.03, -0.71, ozone-world-ltd
530609, 13.00, 2.11, 16.41, 8.62, 21.20, carnation-industries-ltd
526001, 13.04, 0.11, 24.18, 27.62, 5.76, jauss-polymers-ltd
530207, 14.51, 0.02, 11.54, 5.75, 1.86, brawn-biotech-ltd
530427, 15.37, 0.53, 7.82, 3.44, 4.70, choksi-imaging-ltd
539409, 16.69, 2.69, 12.00, 2.39, 10.07, neeraj-paper-marketing-ltd
531398, 16.83, 0.02, 3.24, 3.35, 1.16, source-natural-foods--herbal-suppl-ltd
531287, 18.54, 0.86, 16.11, 7.95, 8.95, national-plastic-technologies-ltd
539201, 19.20, 1.82, 6.37, 8.58, 64.34, satia-industries-ltd
532946, 20.42, 0.65, -0.80, -9.03, -0.68, bang-overseas-ltd
523384, 24.62, --, -0.49, 0.46, -0.69, maha-rashtra-apex-corporation-ltd
531609, 25.14, 3.10, 10.98, 8.11, 40.68, kg-petrochem-ltd
531613, 28.58, 0.14, 2.44, 0.79, 0.04, givo-ltd
512597, 30.18, --, 2.07, 1.10, -0.56, keynote-corporate-services-ltd
532986, 31.78, 0.56, 6.17, 0.69, 13.44, niraj-cement-structurals-ltd
500162, 53.90, --, 0.70, 29.07, 3.48, parrys-sugar-industries-ltd
505827, 55.29, 0.37, 48.72, 20.58, 20.97, snl-bearings-ltd
532673, 56.58, 7.17, 16.28, 43.07, 3.29, kmsugar-mills-ltd
538964, 61.02, 0.32, 23.81, 18.26, 48.17, mercury-laboratories-ltd
507490, 68.95, 5.53, 0.56, -38.86, 1.52, rana-sugars-ltd
507442, 69.95, 31.03, -2.45, -411.37, -3.62, dharani-sugars--chemicals-ltd
526775, 73.97, --, --, --, 0.12, valiant-communications-ltd
507446, 74.52, --, -5.54, 44.54, -14.52, simbhaoli-sugars-ltd
524654, 77.52, 0.12, 15.41, 12.05, 21.59, natural-capsules-ltd
500153, 86.07, --, 2.90, -0.09, 4.46, ganesh-benzoplast-ltd
524324, 86.64, 2.86, 5.86, 20.00, 30.42, seya-industries-ltd
530721, 88.17, 1.68, 5.01, -7.14, 11.49, ang-industries-limited
511630, 88.69, 0.40, 10.02, 8.37, 0.49, sambhaav-media-ltd
523371, 90.28, --, 107.56, 47.09, -13.16, mawana-sugars-ltd
513554, 97.37, 1.08, 5.45, 2.28, 11.83, mahamaya-steel-industries-ltd
532878, 102.57, 0.33, 0.12, -1.61, 1.62, alpa-laboratories-ltd
500240, 108.32, --, -15.06, -31.23, -11.34, kinetic-engineering-ltd
517356, 113.92, --, 1.02, 0.62, -0.02, aci-infocom-ltd
538743, 118.44, --, --, --, 3.38, green-field-agri-ventures-ltd
