Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
531505, 3.19, --, --, --, 0.00, indergiri-finance-ltd
538882, 6.74, --, --, --, 0.44, emerald-leasing-finance--investment-company-ltd
522152, 9.49, 0.10, 10.81, 6.07, 4.60, solitaire-machine-tools-ltd
539392, 9.72, --, --, --, 0.05, sang-froid-labs-(india)-ltd
517477, 38.22, 0.09, 16.41, 11.87, 28.91, elnet-technologies-ltd
530521, 48.47, 0.05, 22.37, 15.67, 7.35, virat-industries-ltd
500418, 49.45, 0.43, 11.03, 7.26, 7.53, tokyo-plast-international-ltd
500220, 52.12, 0.47, 14.98, 9.88, 7.80, jasch-industries-ltd
506910, 54.35, --, 13.70, 8.77, 9.43, jaysynth-dyestuff-(india)-ltd
538713, 55.35, 0.06, 22.56, 16.73, 5.36, atishay-infotech-ltd
531712, 62.88, 0.03, 29.68, 18.31, 4.75, trilogic-digital-media-ltd
538964, 66.26, 0.32, 23.81, 18.26, 48.17, mercury-laboratories-ltd
538795, 71.99, 0.38, 13.79, 9.41, 36.20, shree-ajit-pulp-and-paper-ltd
532172, 121.06, 0.26, --, --, 0.73, sphere-global-services-ltd
530589, 123.75, 0.08, 11.74, 8.11, 3.95, prima-plastics-ltd
522257, 142.47, 0.12, 20.82, 15.42, 1.82, rajoo-engineers-ltd
516108, 162.30, 0.13, 18.36, 12.48, 19.48, south-india-paper-mills-ltd
524774, 186.76, 0.34, 27.73, 25.38, 23.73, ngl-fine-chem-ltd
538540, 209.51, --, --, --, 0.01, ramchandra-leasing--finance-ltd
524075, 238.96, 0.30, 18.99, 14.75, 64.10, albert-david-ltd
539301, 240.04, 0.22, 15.31, 8.69, 2.35, arvind-infrastructure-ltd
526397, 398.24, 0.01, 25.68, 24.22, 34.50, alphageo-(india)-ltd
504959, 432.74, --, 28.77, 19.26, 76.88, stovec-industries-ltd
532790, 436.36, --, --, --, 1.09, tanla-solutions-ltd
517344, 467.19, --, 10.66, 6.89, 7.44, mindteck-(india)-ltd
509220, 597.02, 0.34, 26.42, 17.03, 4.63, ptl-enterprises-ltd
509162, 598.50, --, 33.02, 25.45, 77.82, indag-rubber-ltd
509557, 929.37, 0.10, 20.71, 13.89, 36.30, garware-wall-ropes-ltd
517080, 940.23, 0.01, 23.87, 15.41, 16.27, high-ground-enterprise-ltd
533121, 1028.72, 0.09, 32.19, 21.78, 31.47, sqs-india-bfsi-limited
500148, 1419.68, 0.38, 11.68, 8.41, 51.88, uflex-ltd
533217, 2121.08, 0.13, 23.72, 19.06, 22.68, hindustan-media-ventures-ltd
500003, 3612.21, 0.25, 21.79, 26.66, 19.11, aegis-logistics-ltd
533088, 3814.47, 0.01, 17.23, 10.81, 20.43, mahindra-holidays--resorts-india-ltd
