Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
531658, 0.80, --, --, --, 0.02, trijal-industries-ltd
512167, 1.45, 0.03, --, --, -0.03, matra-realty-ltd
531067, 2.38, --, --, --, -0.24, contil-india-ltd
532041, 2.98, 0.14, -17.99, -21.06, -1.20, hindustan-bio-sciences-ltd
530841, 4.07, 0.63, 3.21, 0.22, 0.93, bil-continental-limited
530991, 6.36, 0.93, 9.96, 1.86, 2.70, roopa-industries-ltd
531644, 6.62, 0.82, 7.01, 4.70, 2.21, tokyo-finance-ltd
500143, 6.66, 33.03, 7.92, 28.40, 3.85, ph-capital-ltd
509835, 7.71, --, 52.67, -1.50, 11.46, premier-synthetics-ltd
519604, 8.47, --, --, --, -0.19, suryo-foods--industries-ltd
531980, 11.34, --, --, --, 0.01, senthil-infotek-ltd
526001, 13.32, 0.11, 24.18, 27.62, 5.76, jauss-polymers-ltd
507506, 13.38, 2.50, 16.96, 31.28, 2.98, girdharilal-sugar--allied-industries-ltd
538794, 14.05, 0.18, 13.85, 9.60, 7.33, jet-infraventure-ltd
530207, 14.58, 0.02, 11.54, 5.75, 1.86, brawn-biotech-ltd
534707, 15.34, 0.59, -7.58, -8.77, -1.32, anshus-clothing-ltd
531398, 17.67, 0.02, 3.24, 3.35, 1.16, source-natural-foods--herbal-suppl-ltd
531287, 21.06, 0.86, 16.11, 7.95, 8.95, national-plastic-technologies-ltd
500132, 21.83, --, -38.78, 70.41, -35.98, empee-sugars--chemicals-ltd
532946, 22.51, 0.65, -0.80, -9.03, -0.68, bang-overseas-ltd
513369, 25.54, 0.41, 5.61, 4.32, 1.41, rajkumar-forge-ltd
531609, 26.21, 3.10, 10.98, 8.11, 40.68, kg-petrochem-ltd
531127, 27.09, 0.01, -19.08, -13.47, -1.03, anar-industries-ltd
507180, 27.42, 3.16, -14.52, -115.48, -42.34, kesar-enterprises-ltd
532329, 31.88, --, 5.13, 4.10, 0.63, danlaw-technologies-india-ltd
533056, 36.19, --, --, --, 8.67, vedavaag-systems-ltd
531146, 36.86, 1.19, 7.85, 2.60, 4.13, medicamen-biotech-ltd
539447, 37.84, 0.91, 7.35, -0.30, 12.58, beardsell-ltd
513472, 38.48, 0.81, 11.65, 1.56, 38.51, simplex-castings-ltd
506910, 47.01, --, 13.70, 8.77, 9.43, jaysynth-dyestuff-(india)-ltd
526747, 47.12, 1.21, 7.64, 4.75, 13.18, pg-foils-ltd
524727, 52.71, --, -3.78, 59.79, 2.03, span-diagnostics-ltd
516022, 54.08, 0.29, 19.61, 33.02, 10.15, star-paper-mills-ltd
532673, 58.05, 7.17, 16.28, 43.07, 3.29, kmsugar-mills-ltd
526179, 60.81, 0.61, -20.21, -12.07, -5.25, ludlow-jute--specialities-ltd
532373, 61.88, 0.38, 9.69, 5.28, 4.34, wep-solutions-ltd
538795, 70.82, 0.38, 13.79, 9.41, 36.20, shree-ajit-pulp-and-paper-ltd
507446, 80.45, --, -5.54, 44.54, -14.52, simbhaoli-sugars-ltd
531363, 84.60, 1.73, 10.10, 2.43, 45.10, karur-kcppackkagings-ltd
524654, 85.38, 0.12, 15.41, 12.05, 21.59, natural-capsules-ltd
500153, 86.43, --, 2.90, -0.09, 4.46, ganesh-benzoplast-ltd
514300, 88.01, 0.81, 12.00, 1.85, 14.24, pioneer-embroideries-ltd
530721, 89.38, 1.68, 5.01, -7.14, 11.49, ang-industries-limited
532651, 89.76, 0.19, 2.01, 1.84, 1.42, spl-industries-ltd
524324, 95.50, 2.86, 5.86, 20.00, 30.42, seya-industries-ltd
511630, 97.60, 0.40, 10.02, 8.37, 0.49, sambhaav-media-ltd
532878, 112.99, 0.33, 0.12, -1.61, 1.62, alpa-laboratories-ltd
538743, 123.47, --, --, --, 3.38, green-field-agri-ventures-ltd
526315, 127.93, --, 18.83, 12.06, 8.61, divyashakti-granites-ltd
512493, 130.79, 0.02, --, --, 0.55, garnet-international-ltd
532456, 135.28, 2.72, 16.77, 14.56, 67.23, compuage-infocom-ltd
500240, 136.40, --, -15.06, -31.23, -11.34, kinetic-engineering-ltd
532785, 144.06, 0.54, 19.07, 12.18, 17.47, ruchira-papers-ltd
520021, 153.57, 0.47, 6.43, 3.84, 20.88, omax-autos-ltd
500343, 159.29, 0.41, 12.85, 11.17, 6.87, pudumjee-pulp--paper-mills-ltd
532713, 163.19, 1.66, 6.88, 11.31, 1.64, sakuma-exports-ltd
532173, 173.51, 0.07, 6.84, 11.04, 1.28, cybertech-systems-and-software-ltd
505324, 177.62, 0.03, -4.43, -5.02, -3.06, manugraph-india-ltd
532633, 191.55, 0.01, -0.63, -1.51, 1.64, allsec-technologies-ltd
523539, 195.11, 0.19, 13.99, 5.40, 40.94, precision-wires-india-ltd
511108, 207.40, 1.27, 11.19, 5.89, 25.17, shiva-texyarn-ltd
539301, 211.76, 0.22, 15.31, 8.69, 2.35, arvind-infrastructure-ltd
532820, 211.88, --, -8.72, 23.77, -3.37, e-land-apparel-limited
532764, 238.02, --, 2.71, 4.33, 3.71, geecee-ventures-limited
532934, 240.80, 0.34, 8.62, 6.05, 28.83, ppap-automotive-limited
538595, 247.44, 0.31, 16.01, 11.12, 55.63, gloster-ltd
524280, 272.92, 0.21, 13.47, 9.50, 7.69, kopran-ltd
500259, 288.31, 1.74, -2.95, -12.54, -2.41, lyka-labs-ltd
531633, 297.67, 0.43, 16.00, 13.26, 14.17, lincoln-pharmaceuticals-ltd
531879, 302.57, --, -12.16, 23.63, 21.48, pioneer-distilleries-ltd
506685, 326.25, --, 28.15, 18.83, 10.08, ultramarine--pigments-ltd
532637, 357.66, 2.42, 16.20, 20.91, 15.42, mangalam-drugs--organics-ltd
517344, 405.61, --, 10.66, 6.89, 7.44, mindteck-(india)-ltd
532674, 408.35, 1.49, 8.56, 5.04, 50.51, bannari-amman-spinning-mills-ltd
526817, 426.76, 0.05, 13.88, 11.92, 59.90, cheviot-coltd
509079, 427.36, 1.09, 19.44, 15.34, 1.84, gufic-biosciences-ltd
502137, 452.44, 0.65, 11.87, 8.11, 93.40, deccan-cements-ltd
532983, 453.75, 0.26, 2.35, 0.79, 8.57, rpg-life-sciences-ltd
517330, 456.71, 0.92, 21.48, 17.56, 12.56, cmi-ltd
500214, 466.63, 0.21, 18.36, 11.86, 34.73, ion-exchange-(india)-ltd
522295, 483.13, 0.08, 24.23, 18.95, 27.70, control-print-ltd
532162, 635.97, 2.38, 5.84, -1.64, 18.62, jk-paper-ltd
533569, 664.42, 0.95, 9.75, 6.17, 9.67, srs-ltd
526725, 702.06, 0.02, 19.45, 12.58, 127.81, sandesh-ltd
505710, 727.73, 0.23, 22.14, 15.04, 3.26, grauer--weil-(india)-ltd
532815, 728.22, 0.60, 20.99, 13.83, 101.90, sms-pharmaceuticals-ltd
533121, 900.39, 0.09, 32.19, 21.78, 31.47, sqs-india-bfsi-limited
532382, 912.95, --, 3.56, 2.85, 1.95, balaji-telefilms-ltd
530943, 1136.40, 0.25, 4.28, 1.99, 7.03, sri-adhikari-brothers-television-network-ltd
539289, 1310.82, --, 6.20, 6.67, 2794.58, majesco-ltd
532944, 1321.11, --, 2.77, 1.26, 8.86, onmobile-global-ltd
532539, 1353.31, 0.29, 16.50, 14.38, 71.49, minda-industries-ltd
532890, 2447.39, --, --, --, 0.11, take-solutions-ltd
532767, 2552.43, 2.52, 7.65, 3.23, 68.67, gayatri-projects-ltd
532678, 2580.28, 1.96, 5.60, -3.00, 41.81, bombay-rayon-fashions-ltd
532809, 2696.04, 0.14, 9.73, 10.05, 3.12, firstsource-solutions-ltd
500285, 4127.21, --, -182.18, 95.29, -15.90, spicejet-ltd
532714, 4181.54, 1.32, 16.89, 9.96, 12.74, kec-international-ltd
504067, 4812.21, --, 32.98, 23.76, 60.14, zensar-technologies-ltd
500163, 7085.47, 0.16, 19.37, 14.16, 69.24, godfrey-phillips-india-ltd
532531, 8209.55, 0.22, 10.26, 36.10, 22.46, strides-arcolab-ltd
511431, 8341.28, 0.34, 35.89, 32.66, 14.26, vakrangee-limited
532522, 17501.25, 0.42, 15.85, 15.51, 19.19, petronet-lng-ltd
532500, 143099.86, 0.01, 21.24, 15.65, 222.22, maruti-suzuki-india-ltd
