Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
532092, 0.18, --, --, --, -0.01, sagar-productions-limited
530057, 0.81, 3.79, --, --, -0.14, ivee-injectaa-ltd
530565, 1.87, --, --, --, 0.16, archana-software-ltd
532364, 1.93, 0.01, -3.88, -3.14, -0.07, cyberscape-multimedia-ltd
590091, 2.45, 0.84, 31.30, 35.94, 2.64, trinethra-infra-ventures-ltd
530173, 2.77, --, 8.98, 5.19, 1.51, oscar-global-ltd
531928, 2.79, 8.19, -8.74, -55.50, -0.37, golden-carpets-ltd
514484, 3.75, 0.19, -3.73, -6.88, -0.35, thambbi-modern-spinning-mills-ltd
513307, 4.23, 1.72, 18.37, 17.22, 11.45, synthiko-foils-ltd
531448, 6.08, --, 0.10, 0.07, -0.53, safal-securities-ltd
531254, 8.57, --, -1.19, -20.42, 0.02, transpek-finance-ltd
513703, 9.40, --, -9.63, -11.64, 0.22, kumar-wire-cloth-manufacturing-company-ltd
519279, 10.78, 0.07, 0.43, 0.17, 0.30, madhur-industries-ltd
532788, 12.14, --, -0.56, 3.13, -0.64, xl-energy-ltd
537068, 13.47, --, --, --, -0.01, satya-miners--transporters-ltd
523620, 16.59, --, 2.03, 1.06, 1.40, phaarmasia-ltd
511509, 20.10, 0.62, 4.75, 5.04, 3.00, vivo-bio-tech-ltd
531489, 21.91, 0.01, 15.67, 11.50, 3.18, cg-vak-software--exports-ltd
532329, 25.02, --, 5.13, 4.10, 0.63, danlaw-technologies-india-ltd
539223, 25.27, 1.39, 25.36, 25.23, 15.91, ambition-mica-ltd
535566, 27.75, 1.12, 7.60, 8.82, 3.18, kifs-financial-services-ltd
534623, 34.27, 0.02, 1.62, 1.17, 0.04, jupiter-infomedia-ltd
512273, 37.39, --, 4.15, 3.84, 4.99, aroni-commercials-ltd
532376, 50.07, 0.84, -16.90, -42.04, -4.06, mro-tek-ltd
505590, 54.33, 0.76, --, --, 0.27, svp-global-ventures-ltd
537536, 55.47, 2.41, 9.96, 0.48, 10.29, denis-chem-lab-ltd
536974, 57.42, 0.95, 23.20, 10.67, 12.82, captain-polyplast-ltd
530505, 58.31, --, -3.48, 2930.16, -5.33, upper-ganges-sugar--industries-ltd
516082, 61.18, 4.32, 4.54, -43.84, 17.83, nragarwal-industries-ltd
532878, 66.38, 0.33, 0.12, -1.61, 1.62, alpa-laboratories-ltd
500153, 69.49, --, 2.90, -0.09, 4.46, ganesh-benzoplast-ltd
531719, 69.72, 1.41, 7.35, 5.10, 20.97, bhagiradha-chemicals--industries-ltd
507260, 70.37, --, 1.93, 59.08, 16.96, oudh-sugar-mills-ltd
533161, 92.43, 1.21, 12.25, 9.40, 11.12, emmbi-industries-ltd
506879, 96.54, --, 111.26, -584.96, 4.33, gujarat-themis-biosyn-ltd
523248, 113.98, 0.71, 9.91, 5.43, 29.66, machino-plastics-ltd
538992, 114.83, 0.01, -26.69, -26.16, -5.77, sar-auto-products-ltd
514470, 132.30, 2.53, 16.93, 9.37, 49.29, winsome-textile-industries-ltd
513532, 139.89, 1.92, 13.41, 21.22, 8.64, pradeep-metals-ltd
524689, 147.29, 4.48, -2.02, -57.53, 4.26, parenteral-drugs-(india)-ltd
534674, 153.71, 0.25, 3.16, 0.37, 0.22, dynacons-technologies-ltd
532521, 188.16, --, 2.91, 2.91, -0.83, palred-technologies-limited
539143, 200.40, --, --, --, -0.03, synergy-bizcon-ltd
530307, 207.25, 0.63, 27.66, 24.48, 38.79, chaman-lal-setia-exports-ltd
534532, 230.71, 1.26, 14.08, 11.74, 6.40, lypsa-gems--jewellery-ltd
532637, 232.46, 2.42, 16.20, 20.91, 15.42, mangalam-drugs--organics-ltd
507315, 241.50, 47.06, 9.73, -203.40, 11.57, sakthi-sugars-ltd
530199, 250.18, 2.00, 10.95, 4.18, 12.89, themis-medicare-ltd
531161, 277.33, --, 30.75, 20.26, 26.50, abm-knowledgeware-ltd
532543, 284.75, 0.09, 10.26, 3.96, 2.84, gp-petroleums-limited
506685, 290.79, --, 28.15, 18.83, 10.08, ultramarine--pigments-ltd
512229, 315.02, 0.17, 9.55, 7.81, 2.17, veritas-(india)-ltd
500119, 325.57, 3.61, 5.17, -2.52, 25.04, dhampur-sugar-mills-ltd
514010, 326.89, 2.14, 7.63, -6.43, 0.77, himachal-fibres-ltd
