Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
530565, 2.10, --, --, --, 0.16, archana-software-ltd
524136, 16.95, 0.46, 13.45, 9.27, 14.16, pee-cee-cosma-sope-ltd
538922, 19.69, 0.20, 12.63, 17.95, 3.61, css-technergy-ltd
531758, 33.94, --, --, --, 0.53, gkconsultants-ltd
530521, 35.94, 0.05, 22.37, 15.67, 7.35, virat-industries-ltd
526161, 42.63, 0.17, 11.51, 6.62, 15.15, spenta-international-ltd
511688, 125.15, 0.01, 13.08, 8.94, 2.51, mathew-easow-research-securities-ltd
590043, 159.16, 0.50, 17.73, 14.65, 13.50, harita-seating-systems-ltd
538540, 193.90, --, --, --, 0.01, ramchandra-leasing--finance-ltd
538860, 297.29, --, --, --, 0.08, panafic-industrials-ltd
530843, 310.78, 0.09, 44.33, 31.85, 11.54, cupid-ltd
504959, 405.86, --, 28.77, 19.26, 76.88, stovec-industries-ltd
