Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
507609, 5.05, 0.30, 73.50, 41.41, 70.42, olympic-oil-industries-ltd
538882, 6.14, --, --, --, 0.44, emerald-leasing-finance--investment-company-ltd
539392, 8.03, --, --, --, 0.05, sang-froid-labs-(india)-ltd
532730, 15.43, --, 15.25, 28.60, 0.02, stl-global-ltd
532053, 69.46, --, 36.13, 29.07, 30.26, wallfort-financial-services-ltd
532172, 112.32, 0.26, --, --, 0.73, sphere-global-services-ltd
531633, 275.49, 0.43, 16.00, 13.26, 14.17, lincoln-pharmaceuticals-ltd
538860, 296.47, --, --, --, 0.08, panafic-industrials-ltd
517344, 340.05, --, 10.66, 6.89, 7.44, mindteck-(india)-ltd
500052, 414.76, 0.37, 11.43, 4.78, 1.25, bhansali-engineering-polymers-ltd
532663, 529.60, --, --, --, 10.60, sasken-communication-technologies-ltd
505710, 531.62, 0.23, 22.14, 15.04, 3.26, grauer--weil-(india)-ltd
507488, 727.59, 0.21, 21.01, 14.76, 30.12, gmbreweries-ltd
526299, 10866.64, 0.03, 17.66, 13.65, 28.96, mphasis-ltd
