Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
532092, 0.23, --, --, --, -0.01, sagar-productions-limited
512441, 1.11, --, --, --, 31.11, enbee-trade--finance-ltd
530697, 2.85, 0.01, --, --, -0.14, neelkanth-technologies-ltd
530841, 3.88, 0.63, 3.21, 0.22, 0.93, bil-continental-limited
532354, 4.52, --, 7.02, 3.24, 0.02, virgo-global-media-limited
531917, 4.64, 0.24, 3.52, 2.47, 1.14, twinstar-industries-limited
517238, 6.66, --, --, --, -1.35, dynavision-ltd
539392, 7.37, --, --, --, 0.05, sang-froid-labs-(india)-ltd
539009, 8.93, 0.01, 0.42, 0.28, -0.08, gujarat-bitumen-ltd
524590, 9.06, 0.04, --, --, -0.18, hemo-organic-limited
531254, 9.28, --, -1.19, -20.42, 0.02, transpek-finance-ltd
539300, 13.38, 1.39, 7.29, 1.17, 7.77, ak-spintex-ltd
531600, 16.99, 0.01, 10.34, 4.63, 1.73, gogia-capital-services-limited
532993, 27.41, 0.63, -22.95, -76.73, -10.07, sezal-glass-limited
532324, 33.37, 0.34, 3.26, -1.93, 0.82, cinevista-ltd
526747, 40.87, 1.21, 7.64, 4.75, 13.18, pg-foils-ltd
538715, 48.18, 1.23, 17.20, 14.79, 11.18, dhabriya-polywood-ltd
514354, 50.59, 0.48, 12.10, 9.87, 2.48, premier-polyfilm-ltd
524828, 50.98, 0.39, 13.56, 11.34, 6.61, bdh-industries-ltd
533608, 55.98, 0.20, 15.01, 10.95, 1.44, rdb-rasayans-ltd
539400, 60.65, 1.01, 12.96, 11.04, 25.46, mallcom-(india)-ltd
504786, 60.65, 0.58, 9.39, 4.41, 21.57, investment--precision-castings-ltd
532384, 69.96, 0.18, 7.70, 4.40, 6.90, tyche-industries-ltd
514045, 72.26, 1.86, 10.40, 10.70, 37.19, bsl-ltd
531739, 76.28, 0.15, 4.50, 2.56, 0.16, gennex-laboratories-ltd
531744, 82.43, 0.27, 12.19, 8.57, 4.23, gini-silk-mills-ltd
532172, 105.77, 0.26, --, --, 0.73, sphere-global-services-ltd
532610, 106.62, 7.87, 7.53, -23.02, 57.13, dwarikesh-sugar-industries-ltd
538706, 143.35, 2.51, 16.79, 13.25, 15.50, ultracab-(india)-ltd
523391, 145.19, 0.49, 9.32, 3.04, 15.94, nahar-polyfilms-ltd
524774, 153.21, 0.34, 27.73, 25.38, 23.73, ngl-fine-chem-ltd
534674, 168.22, 0.25, 3.16, 0.37, 0.22, dynacons-technologies-ltd
532637, 241.95, 2.42, 16.20, 20.91, 15.42, mangalam-drugs--organics-ltd
508807, 358.67, --, 2.16, 1.67, -0.45, ist-ltd
533470, 419.62, 1.34, 13.69, -0.87, 19.63, rushil-decor-ltd
503101, 421.82, --, 9.70, 7.09, 2.64, marathon-nextgen-realty-ltd
536170, 445.47, 1.05, 12.97, 7.99, 6.50, kushal-tradelink-ltd
530377, 446.49, 0.70, 10.77, 7.77, 0.61, nila-infrastructures-ltd
500097, 462.97, 1.79, 6.16, 0.32, 13.95, dalmia-bharat-sugar-and-industries-ltd
508814, 488.33, 0.96, 11.93, 9.83, 62.97, cosmo-films-ltd
532864, 553.76, 0.29, 9.42, 7.79, 5.19, nelcast-ltd
530441, 650.00, --, --, --, 0.00, mahanivesh-(india)-ltd
507488, 675.19, 0.21, 21.01, 14.76, 30.12, gmbreweries-ltd
532649, 1213.25, 0.90, 11.56, 6.91, 11.90, nectar-lifesciences-ltd
500148, 1397.29, 0.38, 11.68, 8.41, 51.88, uflex-ltd
532541, 3540.93, 0.02, 17.81, 14.47, 37.70, niit-technologies-ltd
530813, 5371.21, 1.02, 17.25, 22.30, 20.71, krbl-ltd
530019, 6773.43, 1.07, 6.83, 10.54, 17.34, jubilant-life-sciences-limited
524804, 49406.32, 0.54, 25.10, 28.29, 77.07, aurobindo-pharma-ltd
