Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
531658, 0.80, --, --, --, 0.02, trijal-industries-ltd
509835, 7.71, --, 52.67, -1.50, 11.46, premier-synthetics-ltd
531980, 11.34, --, --, --, 0.01, senthil-infotek-ltd
526001, 13.32, 0.11, 24.18, 27.62, 5.76, jauss-polymers-ltd
538794, 14.05, 0.18, 13.85, 9.60, 7.33, jet-infraventure-ltd
530207, 14.58, 0.02, 11.54, 5.75, 1.86, brawn-biotech-ltd
533056, 36.19, --, --, --, 8.67, vedavaag-systems-ltd
506910, 47.01, --, 13.70, 8.77, 9.43, jaysynth-dyestuff-(india)-ltd
516022, 54.08, 0.29, 19.61, 33.02, 10.15, star-paper-mills-ltd
538795, 70.82, 0.38, 13.79, 9.41, 36.20, shree-ajit-pulp-and-paper-ltd
524654, 85.38, 0.12, 15.41, 12.05, 21.59, natural-capsules-ltd
511630, 97.60, 0.40, 10.02, 8.37, 0.49, sambhaav-media-ltd
538743, 123.47, --, --, --, 3.38, green-field-agri-ventures-ltd
526315, 127.93, --, 18.83, 12.06, 8.61, divyashakti-granites-ltd
512493, 130.79, 0.02, --, --, 0.55, garnet-international-ltd
500343, 159.29, 0.41, 12.85, 11.17, 6.87, pudumjee-pulp--paper-mills-ltd
523539, 195.11, 0.19, 13.99, 5.40, 40.94, precision-wires-india-ltd
539301, 211.76, 0.22, 15.31, 8.69, 2.35, arvind-infrastructure-ltd
538595, 247.44, 0.31, 16.01, 11.12, 55.63, gloster-ltd
524280, 272.92, 0.21, 13.47, 9.50, 7.69, kopran-ltd
531633, 297.67, 0.43, 16.00, 13.26, 14.17, lincoln-pharmaceuticals-ltd
506685, 326.25, --, 28.15, 18.83, 10.08, ultramarine--pigments-ltd
517344, 405.61, --, 10.66, 6.89, 7.44, mindteck-(india)-ltd
526817, 426.76, 0.05, 13.88, 11.92, 59.90, cheviot-coltd
500214, 466.63, 0.21, 18.36, 11.86, 34.73, ion-exchange-(india)-ltd
522295, 483.13, 0.08, 24.23, 18.95, 27.70, control-print-ltd
526725, 702.06, 0.02, 19.45, 12.58, 127.81, sandesh-ltd
505710, 727.73, 0.23, 22.14, 15.04, 3.26, grauer--weil-(india)-ltd
533121, 900.39, 0.09, 32.19, 21.78, 31.47, sqs-india-bfsi-limited
532539, 1353.31, 0.29, 16.50, 14.38, 71.49, minda-industries-ltd
532890, 2447.39, --, --, --, 0.11, take-solutions-ltd
504067, 4812.21, --, 32.98, 23.76, 60.14, zensar-technologies-ltd
500163, 7085.47, 0.16, 19.37, 14.16, 69.24, godfrey-phillips-india-ltd
532531, 8209.55, 0.22, 10.26, 36.10, 22.46, strides-arcolab-ltd
511431, 8341.28, 0.34, 35.89, 32.66, 14.26, vakrangee-limited
532522, 17501.25, 0.42, 15.85, 15.51, 19.19, petronet-lng-ltd
532500, 143099.86, 0.01, 21.24, 15.65, 222.22, maruti-suzuki-india-ltd
