Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
533088, 3726.58, 0.01, 17.23, 10.81, 20.43, mahindra-holidays--resorts-india-ltd
504067, 4244.37, --, 32.98, 23.76, 60.14, zensar-technologies-ltd
506076, 4393.65, --, 24.32, 16.46, 29.82, grindwell-norton-ltd
517506, 5017.53, --, 21.01, 14.33, 128.20, ttk-prestige-ltd
500027, 5232.18, 0.24, 29.67, 23.80, 126.67, atul-ltd
500163, 5253.73, 0.16, 19.37, 14.16, 69.24, godfrey-phillips-india-ltd
532927, 5582.34, --, --, --, 87.90, eclerx-services-ltd
500233, 7026.25, 0.11, 31.81, 23.31, 36.00, kajaria-ceramics-ltd
532175, 7037.08, --, 21.73, 17.15, 26.92, cyient-limited
532531, 7894.43, 0.22, 10.26, 36.10, 22.46, strides-arcolab-ltd
500674, 10466.90, --, 20.67, 17.78, 147.14, sanofi-india-ltd
526299, 10866.64, 0.03, 17.66, 13.65, 28.96, mphasis-ltd
533206, 11975.53, 0.24, 17.73, 16.43, 5.90, sjvn-ltd
500490, 18552.63, --, --, --, 84.05, bajaj-holdings--investment-ltd
532321, 45336.44, 0.28, 26.04, 28.08, 74.93, cadila-healthcare-ltd
500124, 73614.06, 0.29, 15.43, 15.79, 140.34, drreddys-laboratories-ltd
